YearBuilt,LotFrontage,LotArea,YearRemodAdd,GarageArea,ScreenPorch,PoolArea,SalePrice
2001,70.0,10407.5,2001.5,621.45,20.65,0.0,242630.0
2002,79.2,10723.260869565218,2002.1739130434783,584.2608695652174,0.0,0.0,226869.5652173913
2003,67.84210526315789,9658.533333333333,2003.3777777777777,568.8,9.066666666666666,0.0,227408.57777777777
2004,68.7872340425532,8526.25925925926,2004.462962962963,533.3518518518518,12.018518518518519,0.0,210347.72222222222
2005,66.5625,9304.546875,2005.53125,580.21875,1.875,0.0,229680.953125
2006,76.41791044776119,10402.432835820895,2006.313432835821,677.5373134328358,4.402985074626866,0.0,251775.44776119402
2007,78.22448979591837,10456.30612244898,2007.3061224489795,678.0408163265306,14.16326530612245,0.0,255362.73469387754
2008,92.26086956521739,14081.95652173913,2008.304347826087,855.1304347826087,25.47826086956522,20.869565217391305,348849.1304347826
2009,74.88235294117646,8862.277777777777,2009.2222222222222,613.3333333333334,0.0,0.0,269220.0
2010,88.0,11394.0,2010.0,834.0,0.0,0.0,394432.0
